parent_object,acl_class,object_identity,id
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:512,465
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:527,480
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:529,482
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:530,483
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:538,491
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:562,515
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:563,516
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:570,523
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:571,524
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:572,525
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:573,526
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:574,527
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:575,528
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:586,539
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:596,549
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:489,442
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:490,443
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:491,444
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:492,445
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:493,446
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:494,447
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:495,448
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:496,449
,org.springframework.security.acl.basic.SimpleAclEntry,org.bkwsu.bkregistration.model.TbOrganisation:497,450
