acl_object_identity,recipient,id,mask
2,ROLE_ADMIN,5,1
13,ROLE_ADMIN,13,1
13,org_admin,14,2
14,ROLE_ADMIN,15,1
14,org_admin,17,2
16,ROLE_ADMIN,20,1
2,gil,4,6
26,ROLE_ADMIN,41,1
2,org_admin,1,2
3,ROLE_ADMIN,6,1
3,gil,45,1
2,sasha,47,6
30,ROLE_ADMIN,49,1
31,ROLE_ADMIN,50,1
2,gch,52,1
2,vasanti,53,1
31,gil,54,1
32,ROLE_ADMIN,55,1
33,ROLE_ADMIN,56,1
33,reading_admin,57,1
34,ROLE_ADMIN,58,1
35,ROLE_ADMIN,59,1
37,ROLE_ADMIN,61,1
38,ROLE_ADMIN,62,1
39,ROLE_ADMIN,63,1
40,ROLE_ADMIN,64,1
41,ROLE_ADMIN,65,1
42,ROLE_ADMIN,66,1
43,ROLE_ADMIN,67,1
44,ROLE_ADMIN,68,1
45,ROLE_ADMIN,69,1
46,ROLE_ADMIN,70,1
46,spain_admin,71,30
45,spain_admin,72,30
44,spain_admin,73,30
43,spain_admin,74,30
42,spain_admin,75,30
41,spain_admin,76,30
40,spain_admin,77,30
39,spain_admin,78,30
38,spain_admin,79,30
37,spain_admin,80,30
35,spain_admin,81,30
34,spain_admin,83,30
47,ROLE_ADMIN,84,1
47,spain_admin,85,1
48,ROLE_ADMIN,86,1
49,ROLE_ADMIN,87,1
50,ROLE_ADMIN,88,1
51,ROLE_ADMIN,89,1
52,ROLE_ADMIN,90,1
53,ROLE_ADMIN,91,1
54,ROLE_ADMIN,92,1
53,spain_admin,93,1
54,spain_admin,94,1
50,spain_admin,95,1
51,spain_admin,96,1
48,spain_admin,97,1
52,spain_admin,98,1
2,gch_events,99,1
55,ROLE_ADMIN,100,1
56,ROLE_ADMIN,101,1
55,isw_events,102,1
58,ROLE_ADMIN,105,1
58,anubhuti_events,106,1
34,alicante_admin,107,30
35,barcelona_admin,108,30
37,cordoba_admin,109,30
38,granada_admin,110,30
39,las_palmas_admin,111,30
40,leon_admin,112,30
48,leida_admin,113,1
41,madrid_admin,114,30
42,malaga_admin,115,30
53,manresa_admin,116,1
51,palma_admin,117,1
50,sabadell_admin,118,1
54,santa_cruz_admin,119,1
43,sevilla_admin,120,30
44,terrassa_admin,121,30
45,torrent_admin,122,30
46,valencia_admin,123,30
47,zaragoza_admin,124,1
59,ROLE_ADMIN,125,1
62,ROLE_ADMIN,128,1
63,ROLE_ADMIN,129,1
64,ROLE_ADMIN,130,1
70,ROLE_ADMIN,136,1
71,ROLE_ADMIN,137,1
77,ROLE_ADMIN,143,1
59,joerdis,153,30
83,ROLE_ADMIN,169,1
83,sheffield_admin,170,1
58,rekha,171,1
2,rekha,172,1
3,rekha,173,1
33,rekha,174,1
83,rekha,175,1
84,ROLE_ADMIN,176,1
85,ROLE_ADMIN,177,1
86,ROLE_ADMIN,178,1
87,ROLE_ADMIN,179,1
88,ROLE_ADMIN,180,1
89,ROLE_ADMIN,181,1
90,ROLE_ADMIN,182,1
91,ROLE_ADMIN,183,1
92,ROLE_ADMIN,184,1
93,ROLE_ADMIN,185,1
94,ROLE_ADMIN,186,1
94,yambi,187,1
95,ROLE_ADMIN,188,1
96,ROLE_ADMIN,189,1
97,ROLE_ADMIN,190,1
95,Beata,191,1
51,mallorca_admin,196,1
98,ROLE_ADMIN,197,1
98,leeds_admin,198,1
98,rekha,199,1
99,ROLE_ADMIN,200,1
99,northwales_admin,202,1
99,rekha,203,1
101,ROLE_ADMIN,204,1
102,ROLE_ADMIN,205,1
102,peter_org_admin,206,1
103,ROLE_ADMIN,207,1
103,luton_admin,208,1
103,rekha,209,1
104,ROLE_ADMIN,210,1
105,ROLE_ADMIN,211,1
107,ROLE_ADMIN,214,1
107,peru_admin,215,1
108,ROLE_ADMIN,216,1
109,ROLE_ADMIN,217,1
109,peru_admin,218,1
108,peru_admin,219,1
110,ROLE_ADMIN,220,1
110,moscow_admin,221,1
100,ROLE_ADMIN,201,1
100,glasgow_admin,227,1
31,vienna_admin,228,1
113,ROLE_ADMIN,229,1
113,edinburgh_admin,230,1
114,ROLE_ADMIN,231,1
115,ROLE_ADMIN,232,1
114,aberdeen_admin,233,1
115,birmingham_admin,234,1
116,ROLE_ADMIN,235,1
116,brighton_admin,236,1
118,ROLE_ADMIN,239,1
86,joerdis,240,1
88,joerdis,241,1
92,joerdis,242,1
87,joerdis,243,1
90,joerdis,244,1
91,joerdis,245,1
84,joerdis,246,1
89,joerdis,247,1
85,joerdis,248,1
93,joerdis,249,1
119,ROLE_ADMIN,250,1
120,ROLE_ADMIN,251,1
121,ROLE_ADMIN,252,1
121,joerdis,253,1
122,ROLE_ADMIN,254,1
123,ROLE_ADMIN,255,1
123,joerdis,256,1
124,ROLE_ADMIN,257,1
52,gil,259,1
127,ROLE_ADMIN,261,1
127,joerdis,262,1
128,ROLE_ADMIN,263,1
128,joerdis,264,1
129,ROLE_ADMIN,265,1
129,joerdis,266,1
130,ROLE_ADMIN,267,1
130,joerdis,268,1
131,ROLE_ADMIN,269,1
131,manchester_admin,270,1
131,rekha,271,1
133,ROLE_ADMIN,274,1
134,ROLE_ADMIN,275,1
135,ROLE_ADMIN,276,1
136,ROLE_ADMIN,277,1
137,ROLE_ADMIN,278,1
138,ROLE_ADMIN,279,1
138,dundee_admin,280,1
133,coventry_admin,281,1
118,suttoncoldfield_admin,283,1
118,rekha,284,1
139,ROLE_ADMIN,285,1
140,ROLE_ADMIN,286,1
141,ROLE_ADMIN,287,1
142,ROLE_ADMIN,288,1
143,ROLE_ADMIN,289,1
144,ROLE_ADMIN,290,1
145,ROLE_ADMIN,291,1
146,ROLE_ADMIN,292,1
145,westbromwich_admin,293,1
146,wellingborough_admin,294,1
144,wakefield_admin,295,1
142,slough_admin,296,1
141,nottingham_admin,297,1
140,newcastle_admin,298,1
139,inverness_admin,299,1
147,ROLE_ADMIN,300,1
147,colchester_admin,301,1
147,rekha,302,1
102,rekha,303,1
148,ROLE_ADMIN,304,1
148,isleofman_admin,305,1
148,rekha,306,1
149,ROLE_ADMIN,307,1
149,rekha,308,1
149,bradford_admin,309,1
150,ROLE_ADMIN,310,1
150,rekha,311,1
150,cardiff_admin,312,1
152,rekha,317,1
152,kensington_admin,318,1
151,ROLE_ADMIN,313,1
151,rekha,314,1
151,haverhill_admin,315,1
152,ROLE_ADMIN,316,1
2,mona,319,1
153,ROLE_ADMIN,320,1
153,sanath,321,1
154,ROLE_ADMIN,322,1
155,ROLE_ADMIN,323,1
156,ROLE_ADMIN,324,1
157,ROLE_ADMIN,325,1
102,worthing_admin,326,1
156,peterborough_admin,328,1
155,leicester_admin,329,1
154,kendal_admin,330,1
158,ROLE_ADMIN,331,1
158,maureen,332,1
52,hospitalet_admin,333,1
159,ROLE_ADMIN,334,1
159,rekha,335,1
159,hounslow_admin,336,1
114,gil,337,1
160,ROLE_ADMIN,338,1
160,alphaville_admin,339,1
161,ROLE_ADMIN,340,1
161,aracaju_admin,341,1
162,ROLE_ADMIN,342,1
162,araguari_admin,343,1
163,ROLE_ADMIN,344,1
163,brasilia_admin,345,1
164,ROLE_ADMIN,346,1
164,joerdis,347,1
165,ROLE_ADMIN,348,1
165,wolverhampton_admin,349,1
165,rekha,350,1
166,ROLE_ADMIN,351,1
166,ilford_admin,352,1
166,rekha,353,1
167,ROLE_ADMIN,354,1
167,loughborough_admin,355,1
384,cinnaminson_admin,1213,1
168,ROLE_ADMIN,357,1
169,ROLE_ADMIN,358,1
170,ROLE_ADMIN,359,1
168,belo_horizonte_admin,360,1
169,campinas_admin,361,1
170,copacabana_admin,362,1
168,gil,363,1
171,ROLE_ADMIN,364,1
172,ROLE_ADMIN,365,1
173,ROLE_ADMIN,366,1
174,ROLE_ADMIN,367,1
175,ROLE_ADMIN,368,1
176,ROLE_ADMIN,369,1
177,ROLE_ADMIN,370,1
178,ROLE_ADMIN,371,1
179,ROLE_ADMIN,372,1
180,ROLE_ADMIN,373,1
181,ROLE_ADMIN,374,1
182,ROLE_ADMIN,375,1
183,ROLE_ADMIN,376,1
